# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	max(p)	max(epsilon)	max(k)
0               	0.00000000e+00	1.48550000e+01	3.75000000e-01
1               	7.33981302e+02	1.03341288e+03	8.81139996e+00
2               	5.37876901e+01	3.21098641e+04	1.25260265e+01
3               	2.38235801e+01	4.29264293e+04	8.77475806e+00
4               	2.00086037e+01	1.75824532e+04	6.60495547e+00
5               	2.00423882e+01	1.30932532e+04	5.89898095e+00
6               	2.03507733e+01	8.11015957e+03	5.82837082e+00
7               	2.69011456e+01	6.25263990e+03	5.20447267e+00
8               	3.35339007e+01	5.12553172e+03	4.55463857e+00
9               	3.88147122e+01	6.53087503e+03	5.75190018e+00
10              	4.15770859e+01	6.02662804e+03	4.67851389e+00
11              	4.23361109e+01	5.37575838e+03	4.39056563e+00
12              	4.11084140e+01	5.09697447e+03	4.47360503e+00
13              	3.86355239e+01	4.78503448e+03	4.45259793e+00
14              	3.53389010e+01	4.56738137e+03	4.27360687e+00
15              	3.19647841e+01	4.36765482e+03	4.09712819e+00
16              	2.84344632e+01	4.22009119e+03	3.88823559e+00
17              	2.50016239e+01	3.73605612e+03	3.85128033e+00
18              	2.18153241e+01	3.58422457e+03	3.91336495e+00
19              	1.98064022e+01	3.54457972e+03	3.97647559e+00
20              	1.97410369e+01	3.44626284e+03	4.04115009e+00
21              	1.96664745e+01	3.36001937e+03	4.11553161e+00
22              	1.97041931e+01	3.29812405e+03	4.20223108e+00
23              	1.97619057e+01	3.30311590e+03	4.30565650e+00
24              	1.98045152e+01	3.27471268e+03	4.41494301e+00
25              	1.98277101e+01	3.29503118e+03	4.52483321e+00
26              	1.98332608e+01	3.35552739e+03	4.63987593e+00
27              	1.98189566e+01	3.40290800e+03	4.74254949e+00
28              	1.97879037e+01	3.43821272e+03	4.85183581e+00
29              	1.97343986e+01	3.46538225e+03	4.94791970e+00
30              	1.96620150e+01	3.46140202e+03	5.04771705e+00
31              	1.95915638e+01	3.46210858e+03	5.13644164e+00
32              	1.95130877e+01	3.44544288e+03	5.21710573e+00
33              	1.94292551e+01	3.41231906e+03	5.29662847e+00
34              	1.93547995e+01	3.37373648e+03	5.35912422e+00
35              	1.92931062e+01	3.37316538e+03	5.41790468e+00
36              	1.92177593e+01	3.37916730e+03	5.47052273e+00
37              	1.91574545e+01	3.40707249e+03	5.50812643e+00
38              	1.91172561e+01	3.41864649e+03	5.53689121e+00
39              	1.90926630e+01	3.42938699e+03	5.56284527e+00
40              	1.90796592e+01	3.44004283e+03	5.59949936e+00
41              	1.90496988e+01	3.44626361e+03	5.74884290e+00
42              	1.90315375e+01	3.44996237e+03	5.89370960e+00
43              	1.90422661e+01	3.45448283e+03	6.03292675e+00
44              	1.90612077e+01	3.46531343e+03	6.16681947e+00
45              	1.90646874e+01	3.47859683e+03	6.29484758e+00
46              	1.90678357e+01	3.48360112e+03	6.41604782e+00
47              	1.90772693e+01	3.47810390e+03	6.53028089e+00
48              	1.90870550e+01	3.47811611e+03	6.63761167e+00
49              	1.90939785e+01	3.48810140e+03	6.73871168e+00
50              	1.90974733e+01	3.50142802e+03	6.83373849e+00
51              	1.90969406e+01	3.51091648e+03	6.92248774e+00
52              	1.90923497e+01	3.52038582e+03	7.01122269e+00
53              	1.90822324e+01	3.53098153e+03	7.09512538e+00
54              	1.90670496e+01	3.54422241e+03	7.17360879e+00
55              	1.90465140e+01	3.55651652e+03	7.24684287e+00
56              	1.90153710e+01	3.56926026e+03	7.31504785e+00
57              	1.89878029e+01	3.58390245e+03	7.37829892e+00
58              	1.89534756e+01	3.59741248e+03	7.43689182e+00
59              	1.89107438e+01	3.61162765e+03	7.49156366e+00
60              	1.88697503e+01	3.62270436e+03	7.54395543e+00
61              	1.89270985e+01	3.62756932e+03	7.60007600e+00
62              	1.90245841e+01	3.63264547e+03	7.65293570e+00
63              	1.91137450e+01	3.63825663e+03	7.70303097e+00
64              	1.91978727e+01	3.64473482e+03	7.75041421e+00
65              	1.92708472e+01	3.65102880e+03	7.79472326e+00
66              	1.93340251e+01	3.65703220e+03	7.83609048e+00
67              	1.93881108e+01	3.66280598e+03	7.87814698e+00
68              	1.94315329e+01	3.66815797e+03	7.92297607e+00
69              	1.94642801e+01	3.67257196e+03	7.96559185e+00
70              	1.94868890e+01	3.67611404e+03	8.00590311e+00
71              	1.94978995e+01	3.67897632e+03	8.04376722e+00
72              	1.94964242e+01	3.68171148e+03	8.07986070e+00
73              	1.94799705e+01	3.68421443e+03	8.11524362e+00
74              	1.94609514e+01	3.68649769e+03	8.15433956e+00
75              	1.94278153e+01	3.68860113e+03	8.19157596e+00
76              	1.93840364e+01	3.69031265e+03	8.22682387e+00
77              	1.93682391e+01	3.69155818e+03	8.25980595e+00
78              	1.94335683e+01	3.69252172e+03	8.29066990e+00
79              	1.94912267e+01	3.69304879e+03	8.32031767e+00
80              	1.95432931e+01	3.69344303e+03	8.35205125e+00
81              	1.95875196e+01	3.69372877e+03	8.38304600e+00
82              	1.96183987e+01	3.69379415e+03	8.41192621e+00
83              	1.96317463e+01	3.69355543e+03	8.43855098e+00
84              	1.96295112e+01	3.69321668e+03	8.46382121e+00
85              	1.96075200e+01	3.69259922e+03	8.48675816e+00
86              	1.95618644e+01	3.69173888e+03	8.50722312e+00
87              	1.94869249e+01	3.69065484e+03	8.52699616e+00
88              	1.93934260e+01	3.68940933e+03	8.54718478e+00
89              	1.92788748e+01	3.68796576e+03	8.56554535e+00
90              	1.91392147e+01	3.68637562e+03	8.58141003e+00
91              	1.89741001e+01	3.68449228e+03	8.59464632e+00
92              	1.87807941e+01	3.68253784e+03	8.60506461e+00
93              	1.85605206e+01	3.68043224e+03	8.61365443e+00
94              	1.83113001e+01	3.67820531e+03	8.61956150e+00
95              	1.80333559e+01	3.67579298e+03	8.62259468e+00
96              	1.77226156e+01	3.67298033e+03	8.62278327e+00
97              	1.73994936e+01	3.66990434e+03	8.62155692e+00
98              	1.71330157e+01	3.66691900e+03	8.61943684e+00
99              	1.69487684e+01	3.66384055e+03	8.61463546e+00
100             	1.66903894e+01	3.66077758e+03	8.60676652e+00
101             	1.64951432e+01	3.65770483e+03	8.59585550e+00
102             	1.62190110e+01	3.65469826e+03	8.58190896e+00
103             	1.59885107e+01	3.65166377e+03	8.56566857e+00
104             	1.57727898e+01	3.64860136e+03	8.54633090e+00
105             	1.55168379e+01	3.64548682e+03	8.52379662e+00
106             	1.52728438e+01	3.64245347e+03	8.49799850e+00
