# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	maxMag(U)
0               	0.00000000e+00
1               	1.65564498e+01
2               	1.44707043e+01
3               	1.36770342e+01
4               	1.51537847e+01
5               	1.28728676e+01
6               	1.25921277e+01
7               	1.24207927e+01
8               	1.23101417e+01
9               	1.22560452e+01
10              	1.22214273e+01
11              	1.21958905e+01
12              	1.21792613e+01
13              	1.21701391e+01
14              	1.21802825e+01
15              	1.22024089e+01
16              	1.22288696e+01
17              	1.22595132e+01
18              	1.22811891e+01
19              	1.23074573e+01
20              	1.23204815e+01
21              	1.23297169e+01
22              	1.23326554e+01
23              	1.23290241e+01
24              	1.23209267e+01
25              	1.23109993e+01
26              	1.23006279e+01
27              	1.22823956e+01
28              	1.22635359e+01
29              	1.22450064e+01
30              	1.22235145e+01
31              	1.22014020e+01
32              	1.21804461e+01
33              	1.21595764e+01
34              	1.21361278e+01
35              	1.21165183e+01
36              	1.20972676e+01
37              	1.20791365e+01
38              	1.20625900e+01
39              	1.20474246e+01
40              	1.20331258e+01
41              	1.20198761e+01
42              	1.20077993e+01
43              	1.19965000e+01
44              	1.19861648e+01
45              	1.19761737e+01
46              	1.19663890e+01
47              	1.19567328e+01
48              	1.19470511e+01
49              	1.19374133e+01
50              	1.19277153e+01
51              	1.19177173e+01
52              	1.19072848e+01
53              	1.18962979e+01
54              	1.18850111e+01
55              	1.18735384e+01
56              	1.18621803e+01
57              	1.18510691e+01
58              	1.18399301e+01
59              	1.18282440e+01
60              	1.18152968e+01
61              	1.18008183e+01
62              	1.17862578e+01
63              	1.17720448e+01
64              	1.17579291e+01
65              	1.17416175e+01
66              	1.17245421e+01
67              	1.17076203e+01
68              	1.16905226e+01
69              	1.16712527e+01
70              	1.16510253e+01
71              	1.16308477e+01
72              	1.16091937e+01
73              	1.15860009e+01
74              	1.15618413e+01
75              	1.15379422e+01
76              	1.15113366e+01
77              	1.14848162e+01
78              	1.14570018e+01
79              	1.14289780e+01
80              	1.14003638e+01
81              	1.13688299e+01
82              	1.13354121e+01
83              	1.13169287e+01
84              	1.13169288e+01
85              	1.13169289e+01
86              	1.13169291e+01
87              	1.13169292e+01
88              	1.13169293e+01
89              	1.13169294e+01
90              	1.13169294e+01
91              	1.13169295e+01
92              	1.13169296e+01
93              	1.13169296e+01
94              	1.13169297e+01
95              	1.13169297e+01
96              	1.13169297e+01
97              	1.13169298e+01
98              	1.13169298e+01
99              	1.13169298e+01
100             	1.13169298e+01
101             	1.13169299e+01
102             	1.13169299e+01
103             	1.13169299e+01
104             	1.13169299e+01
105             	1.13169299e+01
106             	1.13169299e+01
107             	1.13169299e+01
108             	1.13169298e+01
109             	1.13169298e+01
110             	1.13169298e+01
111             	1.13169298e+01
112             	1.13169298e+01
113             	1.13169298e+01
114             	1.13169298e+01
115             	1.13169298e+01
116             	1.13169297e+01
117             	1.13169297e+01
118             	1.13169297e+01
119             	1.13169297e+01
120             	1.13169297e+01
121             	1.13169297e+01
122             	1.13169297e+01
123             	1.13169297e+01
124             	1.13169297e+01
125             	1.13169296e+01
126             	1.13169296e+01
127             	1.13169296e+01
128             	1.13169296e+01
129             	1.13169296e+01
130             	1.13169296e+01
131             	1.13169296e+01
132             	1.13169296e+01
133             	1.13169296e+01
134             	1.13169296e+01
135             	1.13169296e+01
136             	1.13169296e+01
137             	1.13169296e+01
138             	1.13169296e+01
139             	1.13169296e+01
140             	1.13169296e+01
141             	1.13169296e+01
142             	1.13169296e+01
143             	1.13169296e+01
144             	1.13169296e+01
145             	1.13169296e+01
146             	1.13169296e+01
147             	1.13169296e+01
148             	1.13169296e+01
149             	1.13169296e+01
150             	1.13169296e+01
151             	1.13169296e+01
152             	1.13169296e+01
153             	1.13169296e+01
154             	1.13169296e+01
155             	1.13169297e+01
156             	1.13169297e+01
157             	1.13169297e+01
158             	1.13169297e+01
159             	1.13169297e+01
160             	1.13169297e+01
161             	1.13169297e+01
162             	1.13169297e+01
163             	1.13169297e+01
164             	1.13169297e+01
165             	1.13169297e+01
166             	1.13169297e+01
167             	1.13169297e+01
168             	1.13169297e+01
169             	1.13169297e+01
170             	1.13169297e+01
171             	1.13169297e+01
172             	1.13169297e+01
173             	1.13169297e+01
174             	1.13169297e+01
175             	1.13169297e+01
176             	1.13169297e+01
177             	1.13169297e+01
178             	1.13169297e+01
179             	1.13169297e+01
180             	1.13169297e+01
181             	1.13169297e+01
182             	1.13169297e+01
183             	1.13169297e+01
184             	1.13169297e+01
185             	1.13169297e+01
186             	1.13169297e+01
187             	1.13169297e+01
188             	1.13169297e+01
189             	1.13169297e+01
190             	1.13169297e+01
191             	1.13169297e+01
192             	1.13169297e+01
193             	1.13169297e+01
194             	1.13169297e+01
195             	1.13169297e+01
196             	1.13169297e+01
197             	1.13169297e+01
198             	1.13169297e+01
199             	1.13169297e+01
200             	1.13169297e+01
201             	1.13169297e+01
202             	1.13169297e+01
203             	1.13169297e+01
204             	1.13169297e+01
205             	1.13169297e+01
206             	1.13169297e+01
207             	1.13169297e+01
208             	1.13169297e+01
209             	1.13169298e+01
210             	1.13169298e+01
211             	1.13169298e+01
212             	1.13169298e+01
213             	1.13169298e+01
214             	1.13169298e+01
215             	1.13169298e+01
216             	1.13169298e+01
217             	1.13169298e+01
218             	1.13169298e+01
219             	1.13169298e+01
220             	1.13169298e+01
221             	1.13169298e+01
222             	1.13169298e+01
223             	1.13169298e+01
224             	1.13169298e+01
225             	1.13169298e+01
226             	1.13169298e+01
227             	1.13169298e+01
228             	1.13169298e+01
229             	1.13169298e+01
230             	1.13169298e+01
231             	1.13169298e+01
232             	1.13169298e+01
233             	1.13169298e+01
234             	1.13169298e+01
235             	1.13169298e+01
236             	1.13169298e+01
237             	1.13169298e+01
238             	1.13169298e+01
239             	1.13169298e+01
240             	1.13169298e+01
241             	1.13169298e+01
242             	1.13169298e+01
243             	1.13169298e+01
244             	1.13169298e+01
245             	1.13169298e+01
246             	1.13169298e+01
247             	1.13169298e+01
248             	1.13169298e+01
249             	1.13169298e+01
250             	1.13169298e+01
251             	1.13169298e+01
252             	1.13169298e+01
253             	1.13169298e+01
254             	1.13169298e+01
255             	1.13169298e+01
256             	1.13169298e+01
257             	1.13169298e+01
258             	1.13169298e+01
259             	1.13169298e+01
260             	1.13169298e+01
261             	1.13169298e+01
262             	1.13169298e+01
