# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	min(p)	min(epsilon)	min(k)
0               	0.00000000e+00	1.48550000e+01	3.75000000e-01
1               	8.99817343e+00	1.27191580e+01	2.92891136e-01
2               	-1.13005733e+02	1.14409056e+01	9.25343047e-02
3               	-1.17753123e+02	4.48864592e-01	3.23635813e-02
4               	-8.96215092e+01	3.88650472e+00	3.07408567e-02
5               	-6.73920533e+01	4.78302282e+00	4.03370359e-02
6               	-5.48278063e+01	5.18724003e+00	5.12770913e-02
7               	-4.40984097e+01	5.46622623e+00	5.80936373e-02
8               	-3.57484407e+01	6.07996791e+00	6.59095390e-02
9               	-2.74432701e+01	6.34985538e+00	7.03933598e-02
10              	-2.00409835e+01	5.99553476e+00	7.19821931e-02
11              	-1.35351637e+01	5.73088551e+00	7.20511860e-02
12              	-9.99809276e+00	5.53530092e+00	7.24930150e-02
13              	-1.16225007e+01	5.41745066e+00	7.00649055e-02
14              	-1.32266909e+01	5.36458024e+00	6.68835794e-02
15              	-1.48468704e+01	5.37274730e+00	6.31629045e-02
16              	-1.63043945e+01	5.43122626e+00	5.83793444e-02
17              	-1.77172348e+01	5.51910717e+00	5.61183734e-02
18              	-1.90320963e+01	5.63789277e+00	5.28642895e-02
19              	-2.02303534e+01	5.77900556e+00	4.67065436e-02
20              	-2.13702329e+01	5.40590892e+00	4.09176387e-02
21              	-2.24223318e+01	5.05384833e+00	3.77251584e-02
22              	-2.33830585e+01	4.87295685e+00	3.47390812e-02
23              	-2.42613538e+01	4.51194804e+00	3.06969069e-02
24              	-2.50482185e+01	4.05175197e+00	2.65909468e-02
25              	-2.57486206e+01	3.67962110e+00	2.35680648e-02
26              	-2.63607660e+01	3.26610273e+00	2.07758573e-02
27              	-2.68762973e+01	2.75614026e+00	1.70723627e-02
28              	-2.72962448e+01	2.27755683e+00	1.39867294e-02
29              	-2.76540782e+01	1.93157994e+00	1.22807196e-02
30              	-2.79378877e+01	1.67315462e+00	1.07518697e-02
31              	-2.80809410e+01	1.45894775e+00	9.80907055e-03
32              	-2.81726148e+01	1.32069775e+00	9.07904863e-03
33              	-2.82086490e+01	1.23896382e+00	8.24332813e-03
34              	-2.81357485e+01	1.15656444e+00	7.49385940e-03
35              	-2.79740264e+01	1.07913939e+00	6.87193644e-03
36              	-2.78269074e+01	1.02361084e+00	6.31543850e-03
37              	-2.76209882e+01	9.86292971e-01	6.32427424e-03
38              	-2.73399354e+01	9.82850432e-01	6.42911421e-03
