# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	minMag(U)
0               	0.00000000e+00
1               	1.68850337e-01
2               	7.62150850e-03
3               	1.16763378e-02
4               	3.49674661e-02
5               	5.15673748e-02
6               	1.14627566e-01
7               	1.30213309e-01
8               	1.51240185e-01
9               	1.49791271e-01
10              	1.43489498e-01
11              	8.30524579e-02
12              	1.15575083e-01
13              	1.26100792e-01
14              	1.16970925e-01
15              	1.25379855e-01
16              	8.20912325e-02
17              	4.18291823e-02
18              	1.26109551e-02
19              	6.79856819e-03
20              	2.76905141e-02
21              	3.51203304e-02
22              	4.17954344e-02
23              	1.43275431e-02
24              	4.42941549e-03
25              	3.49479922e-02
26              	2.36556003e-02
27              	7.54048971e-02
28              	4.22970534e-02
29              	1.30062714e-02
30              	4.84025735e-02
31              	3.22568416e-02
32              	7.50170680e-03
33              	2.27471952e-02
34              	1.87727531e-02
35              	1.55558345e-02
36              	2.47904908e-02
37              	1.24839127e-02
38              	1.94202485e-02
39              	1.75449953e-02
40              	4.81305471e-02
41              	3.84524484e-02
42              	3.17074880e-02
43              	6.43172502e-02
44              	2.78226490e-02
45              	2.16361653e-02
46              	4.58485399e-02
47              	4.92150022e-02
48              	2.55519596e-02
49              	1.34402961e-02
50              	1.91002374e-02
51              	3.20267819e-02
52              	4.34401724e-02
53              	4.59514893e-02
54              	4.92923521e-02
55              	2.21310882e-02
56              	3.82133391e-02
57              	1.55386365e-02
58              	3.63970884e-02
59              	3.56834244e-02
60              	3.53053099e-02
61              	3.22263429e-02
62              	3.07024066e-02
63              	1.63365718e-02
64              	2.61798766e-02
65              	2.39378967e-02
66              	2.21726159e-02
67              	1.94205622e-02
68              	1.85716348e-02
69              	1.63436871e-02
70              	1.97245818e-02
71              	1.52291366e-02
72              	8.64256711e-03
73              	1.30415797e-03
74              	8.33257813e-03
75              	9.00427300e-03
76              	1.50625424e-02
77              	9.42691287e-03
78              	1.07080676e-02
79              	1.59315110e-02
80              	2.10174899e-02
81              	1.74043259e-02
82              	1.66408204e-02
83              	1.82731042e-02
84              	1.92971436e-02
85              	1.58149710e-02
86              	1.45428527e-02
87              	1.48919915e-02
88              	5.78752530e-03
89              	6.20727344e-03
90              	6.14143308e-03
91              	6.00158270e-03
92              	8.66547615e-03
93              	1.01607069e-02
94              	1.21180070e-02
95              	1.10427042e-02
96              	9.75065598e-03
97              	7.92081451e-03
98              	4.77920891e-03
99              	5.23402188e-03
100             	4.76166930e-03
101             	3.95783455e-03
102             	3.64364316e-03
103             	4.00081049e-03
104             	4.37981676e-03
105             	4.35280432e-03
106             	5.20073410e-03
107             	5.23682084e-03
108             	6.02828181e-03
109             	5.74184405e-03
110             	6.52047145e-03
111             	6.35366173e-03
112             	7.20403714e-03
113             	4.94011990e-03
114             	6.39113800e-03
115             	5.23397106e-03
116             	7.24911789e-03
117             	7.41037993e-03
118             	7.77996825e-03
119             	8.33377047e-03
120             	8.26858749e-03
121             	7.96684417e-03
122             	8.41580076e-03
123             	9.11824595e-03
124             	8.41652729e-03
125             	8.62489855e-03
126             	9.02740390e-03
127             	9.64763562e-03
128             	9.33640943e-03
129             	9.63270298e-03
130             	3.96787202e-03
131             	5.13114575e-03
132             	1.04195671e-02
133             	1.05703787e-02
134             	1.10716626e-02
135             	1.20373140e-02
136             	1.14208946e-02
137             	1.09978798e-02
138             	1.15828157e-02
139             	1.16259441e-02
140             	1.19700988e-02
141             	1.21324245e-02
142             	1.24101469e-02
143             	1.27098629e-02
144             	8.87771374e-03
145             	4.63389515e-03
146             	4.25571116e-04
147             	4.91135696e-03
148             	1.00345371e-02
149             	1.29319369e-02
150             	1.31661979e-02
151             	1.36612601e-02
152             	1.31618924e-02
153             	1.28874705e-02
154             	1.32211987e-02
155             	1.31690648e-02
156             	1.33627531e-02
157             	1.34072130e-02
158             	1.35464028e-02
159             	1.38521920e-02
160             	1.32667600e-02
161             	1.31091496e-02
162             	1.30274163e-02
163             	1.30645859e-02
164             	1.32450522e-02
165             	1.27690993e-02
166             	1.26582187e-02
167             	1.25284745e-02
168             	1.24925273e-02
169             	1.25992393e-02
170             	1.21111268e-02
171             	1.20209257e-02
172             	1.18754987e-02
173             	1.18238491e-02
174             	1.18994056e-02
175             	1.14452235e-02
176             	1.13342776e-02
177             	1.12587157e-02
178             	1.12224425e-02
179             	1.09739470e-02
180             	1.07746294e-02
181             	1.07503736e-02
182             	1.06562076e-02
183             	1.05150720e-02
184             	1.03734467e-02
185             	1.03358329e-02
186             	1.01401221e-02
187             	1.00000989e-02
188             	9.96873788e-03
189             	9.71536931e-03
190             	9.64499372e-03
191             	9.55609025e-03
192             	9.39188550e-03
193             	9.20783447e-03
194             	9.12935124e-03
195             	9.11712938e-03
196             	8.76782235e-03
197             	8.63309106e-03
198             	8.59369598e-03
199             	8.25212479e-03
200             	8.11570620e-03
201             	7.99943789e-03
202             	7.73868450e-03
203             	7.62788969e-03
204             	7.47659207e-03
205             	7.37224973e-03
206             	7.32156357e-03
207             	6.98646740e-03
208             	6.78515067e-03
209             	6.70079432e-03
