# Selection :   patch(outlet)
# Faces  :      57
# Area   :      3.32000000e-05
# Time          	sum(phi)
0               	0.00000000e+00
1               	2.54063216e-04
2               	2.54000211e-04
3               	2.54012067e-04
4               	2.54001113e-04
5               	2.53997732e-04
6               	2.54005893e-04
7               	2.53994800e-04
8               	2.53996514e-04
9               	2.53996511e-04
10              	2.54000736e-04
11              	2.54001105e-04
12              	2.54001393e-04
13              	2.53998560e-04
14              	2.53998109e-04
15              	2.53998423e-04
16              	2.53998372e-04
17              	2.53998312e-04
18              	2.53999194e-04
19              	2.54001190e-04
20              	2.53999382e-04
21              	2.54000663e-04
22              	2.53999576e-04
23              	2.54000748e-04
24              	2.53999402e-04
25              	2.54000434e-04
26              	2.53999437e-04
27              	2.53999597e-04
28              	2.54000408e-04
29              	2.53999515e-04
30              	2.53999509e-04
31              	2.54000596e-04
32              	2.54000245e-04
33              	2.54000424e-04
34              	2.53999646e-04
35              	2.53999542e-04
36              	2.54000535e-04
37              	2.53999132e-04
38              	2.54000654e-04
39              	2.53999164e-04
40              	2.53999184e-04
41              	2.53999171e-04
42              	2.53999294e-04
43              	2.53999942e-04
44              	2.53999609e-04
45              	2.53999601e-04
46              	2.53999744e-04
47              	2.53999752e-04
48              	2.53999778e-04
49              	2.53999796e-04
50              	2.53999780e-04
51              	2.53999766e-04
52              	2.53999858e-04
53              	2.53999816e-04
54              	2.53999799e-04
55              	2.53999887e-04
56              	2.53999825e-04
57              	2.54000162e-04
58              	2.53999796e-04
59              	2.53999988e-04
60              	2.53999800e-04
61              	2.53999804e-04
62              	2.53999797e-04
63              	2.54000224e-04
64              	2.54000279e-04
65              	2.53999791e-04
66              	2.53999804e-04
67              	2.53999812e-04
68              	2.53999782e-04
69              	2.53999724e-04
70              	2.53999733e-04
71              	2.53999743e-04
72              	2.54000248e-04
73              	2.54000248e-04
74              	2.53999811e-04
75              	2.54000250e-04
76              	2.54000261e-04
77              	2.53999884e-04
78              	2.53999829e-04
79              	2.54000161e-04
80              	2.54000083e-04
81              	2.54000081e-04
82              	2.53999940e-04
83              	2.54000025e-04
84              	2.54000023e-04
85              	2.54000056e-04
86              	2.54000047e-04
87              	2.54000047e-04
88              	2.54000081e-04
89              	2.54000084e-04
90              	2.54000100e-04
91              	2.54000121e-04
92              	2.54000130e-04
93              	2.54000144e-04
94              	2.54000198e-04
95              	2.54000198e-04
96              	2.54000219e-04
97              	2.54000216e-04
98              	2.54000263e-04
99              	2.54000190e-04
100             	2.54000266e-04
101             	2.54000258e-04
102             	2.54000119e-04
103             	2.54000096e-04
104             	2.54000301e-04
105             	2.54000168e-04
106             	2.54000412e-04
107             	2.54000255e-04
108             	2.54000342e-04
109             	2.53999678e-04
110             	2.54000615e-04
111             	2.54000608e-04
112             	2.54000567e-04
113             	2.54000429e-04
114             	2.53999695e-04
115             	2.54000533e-04
116             	2.54000788e-04
117             	2.54000532e-04
118             	2.54000753e-04
119             	2.54000503e-04
120             	2.54000594e-04
121             	2.54000113e-04
122             	2.53999699e-04
123             	2.54000166e-04
124             	2.53999660e-04
125             	2.53999618e-04
126             	2.53999635e-04
127             	2.53999563e-04
128             	2.53999712e-04
129             	2.53999678e-04
130             	2.53999715e-04
131             	2.53999745e-04
132             	2.53999705e-04
133             	2.53999733e-04
134             	2.53999539e-04
135             	2.53999273e-04
136             	2.53999938e-04
137             	2.53999630e-04
138             	2.53999883e-04
139             	2.53999813e-04
140             	2.53999848e-04
141             	2.53999862e-04
142             	2.53999866e-04
143             	2.53999839e-04
144             	2.54000028e-04
145             	2.53999817e-04
146             	2.53999858e-04
147             	2.53999821e-04
148             	2.53999875e-04
149             	2.53999869e-04
150             	2.54000093e-04
151             	2.53999810e-04
152             	2.54000129e-04
153             	2.54000118e-04
154             	2.53999829e-04
155             	2.53999831e-04
156             	2.53999820e-04
157             	2.54000159e-04
158             	2.54000183e-04
159             	2.54000163e-04
160             	2.54000227e-04
161             	2.53999899e-04
