# Residuals     
# Time          	p               	Ux              	Uy              	k               	epsilon         
0               	N/A             	N/A             	N/A             	N/A             	N/A             
1               	1.00000000e+00	1.00000000e+00	0.00000000e+00	1.00000000e+00	2.21788531e-01
2               	4.00508711e-02	4.28157404e-01	2.76295140e-01	3.48674546e-01	1.34543067e-01
3               	1.80869058e-01	8.93015053e-02	1.44366486e-01	1.81009234e-01	8.92742114e-02
4               	1.32072059e-01	6.31541406e-02	1.12647027e-01	1.35505439e-01	1.54248115e-01
5               	9.68077292e-02	5.68064574e-02	8.06180097e-02	9.68415453e-02	9.18028933e-02
6               	8.01899659e-02	5.20946314e-02	6.82424204e-02	8.11559975e-02	7.41210909e-02
7               	6.78136047e-02	4.76503740e-02	6.43634949e-02	7.47202049e-02	7.75470199e-02
8               	6.19974016e-02	4.40059141e-02	6.27813421e-02	7.13668525e-02	7.47252617e-02
9               	5.86403732e-02	4.15276305e-02	6.16384691e-02	6.87152257e-02	7.19544434e-02
10              	5.60511602e-02	3.90962796e-02	5.75416377e-02	6.61731664e-02	6.83505196e-02
11              	5.57807465e-02	3.67015431e-02	5.38951541e-02	6.31101377e-02	6.36076715e-02
12              	5.62055256e-02	3.42661629e-02	5.11778719e-02	6.05732587e-02	6.03275496e-02
13              	5.59161239e-02	3.22496334e-02	4.94592306e-02	5.80495185e-02	5.59296837e-02
14              	5.50462317e-02	3.02969535e-02	4.82966137e-02	5.58710756e-02	5.27599606e-02
15              	5.28125479e-02	2.83899758e-02	4.73423432e-02	5.40204374e-02	5.14422089e-02
16              	5.16690970e-02	2.64960466e-02	4.62648688e-02	5.23328890e-02	5.01211557e-02
17              	5.06840447e-02	2.50498730e-02	4.59177182e-02	5.06301130e-02	4.83004780e-02
18              	4.92689051e-02	2.35285850e-02	4.51625191e-02	4.90292387e-02	4.60442994e-02
19              	4.83582408e-02	2.20773762e-02	4.47321239e-02	4.74852314e-02	4.40447865e-02
20              	4.73859223e-02	2.06838349e-02	4.41732704e-02	4.59952369e-02	4.16724641e-02
21              	4.60513671e-02	1.94324476e-02	4.36589801e-02	4.46015308e-02	3.96538952e-02
